source,target
32112,32118
39393,39394
34067,46160
32142,32146
32164,34874
33209,34874
32166,34834
39404,39408
32160,33219
33203,34836
39386,39390
33205,33219
32160,32172
39400,39410
30191,30209
45268,45270
45861,45864
39406,45869
32102,33213
32160,47304
32116,34874
1377,47030
32144,33215
32102,32166
42744,46059
32128,39394
45861,47297
30191,46051
47007,47120
32144,32168
39403,47004
190,11747
32138,34834
35675,48358
32140,33217
32128,46160
32146,34874
32130,45861
35670,35676
643,30159
32148,32174
32140,32170
32174,33215
30133,46051
47290,47301
35660,35662
30447,45869
1377,47007
30447,32134
33212,33213
32121,46157
39378,39404
30445,45270
47294,47307
46207,48356
32114,46154
33213,34834
32166,45261
39382,46055
30187,30193
33207,33219
32170,33222
32121,32134
32106,46155
32158,45262
46057,46058
30191,30199
45261,60002
32132,39382
32124,39378
32102,33203
1508,42745
32160,47294
39410,39413
32118,34874
47290,47314
32162,45268
32144,33205
39403,39410
30193,46051
34834,46155
30199,32130
227,50200
32144,32158
32121,46026
32140,33207
32140,32160
32150,34834
30199,30445
32174,33205
47290,47291
39406,47004
39390,45864
32160,47307
39376,39406
32124,46157
39390,47297
33207,33209
11322,39614
35666,35673
32170,33212
11747,39614
32121,32124
47297,47307
32130,45864
35662,35675
32114,32121
30447,47004
30205,30209
32132,32138
32102,32146
32112,46160
32130,47297
42744,47207
32158,33215
32144,32148
32105,46157
30205,46051
33207,33222
39386,45848
32158,32168
39406,39410
32118,32132
32150,32164
39398,39406
32158,45265
32160,47297
32162,32174
1717,11745
45262,45268
32154,33222
32105,32134
32153,34834
42743,46056
39394,39413
46022,46160
30447,46055
39386,45861
47002,47120
30447,39410
32140,34836
35662,35665
32134,39408
46735,47120
32106,32112
35665,35675
32134,34834
32158,33205
35666,45848
32128,32130
33207,33212
35666,35676
32150,32154
32121,34836
32164,32174
33207,34874
32108,46157
46051,46056
32164,34834
32154,33212
32153,32164
30133,32142
32105,32124
33203,33219
39376,39386
32148,39404
1377,47327
39394,39403
42744,47030
39404,45869
32106,34834
45265,45268
32116,32138
36394,42744
32138,46157
39406,39413
30209,47305
42742,46059
32142,33215
32114,47004
32142,32168
39382,39406
42744,47007
32121,34067
32146,32174
32172,33215
30191,33264
31663,46026
46055,46160
39400,45848
39378,39413
32164,45261
33213,33217
32153,32154
32105,32114
47207,50200
32124,34836
32148,39394
32168,33222
30159,42743
32130,39382
32116,32128
32108,32124
39408,39413
32160,45268
32114,46055
32118,34834
32142,33205
39400,45861
32112,32130
39393,39406
521,34392
46051,46059
32128,39393
3305,47004
32142,32158
45261,45265
42745,46059
46154,46157
35670,46207
32134,46154
32105,34836
31663,46160
32172,33205
39404,47004
35676,48358
32148,45270
32102,46057
32132,39404
32124,34067
32124,39400
39378,39403
39403,45848
32128,39406
32168,33212
45848,46207
32116,32118
32108,32114
32130,32138
36999,47004
32170,34834
36394,47684
32105,34067
32124,39413
39410,45864
32142,32148
39382,39386
39413,46055
32102,46155
34834,46154
39403,45861
39404,39410
30187,30205
39410,47297
32160,32174
35673,46207
30205,33264
32108,34836
32132,39394
1508,46055
32124,39390
32102,33215
11745,11747
39378,39393
11322,45270
42741,46056
32144,33217
32102,32168
227,46191
46154,46160
32144,32170
32138,34836
32140,33219
39406,45848
32140,32172
32174,33217
32166,33213
32118,46154
33212,33215
32124,39403
32134,45869
46207,48358
33213,34836
32108,34067
35665,36394
11322,11747
32148,32153
32106,46157
30199,46155
30447,45848
39406,45861
42744,47327
32102,33205
1717,11744
32162,45270
34067,34874
32138,34067
42744,46051
32102,32158
32144,33207
42743,46055
30133,48137
10787,42743
34834,46157
32106,32134
30199,32132
32144,32160
32154,34834
36394,46051
3305,50200
32140,33209
39394,45864
46051,47305
30199,30447
32174,33207
32166,33203
45861,45869
35670,48356
521,11322
39394,47297
32128,45864
39376,39408
2640,11322
1377,47120
35666,35675
1508,50200
32118,32121
30447,39386
32128,34874
32128,47297
32102,32112
30209,46051
32134,47004
36999,50200
30133,30191
32154,32164
32106,32124
2640,11744
32158,33217
32144,32150
32150,33213
32158,32170
32118,32134
32150,32166
39398,39408
39390,39404
47030,47207
42742,46058
30133,46033
11322,30445
45262,45270
32102,34834
47301,47377
32153,34836
46026,46160
42743,46058
39376,39398
45864,45869
35673,48356
30447,39376
32146,45270
32130,39404
32166,60002
32134,46055
32134,39410
45861,47004
32124,45861
34834,47004
39378,45864
33212,34834
30445,30447
32106,32114
30199,32112
32146,32150
46191,46735
32158,33207
32150,33203
32128,32132
46191,47000
39378,47297
32158,32160
32168,34834
39390,39394
39408,45864
32153,33213
1508,3305
46051,46058
32153,32166
39408,47297
32112,34874
34836,46160
32148,39406
45265,45270
32106,34836
30199,34834
32130,39394
47304,47377
45861,46055
32118,47004
47000,47002
32102,46056
32142,33217
30133,32121
46160,47290
32130,46160
32142,32170
39382,39408
34834,34836
39404,45848
45864,47004
47295,47305
32172,33217
32164,33213
33215,34834
32168,45261
32142,46026
33209,33213
32160,46160
35660,35673
32153,33203
45848,45869
32164,32166
33213,33219
32105,32116
32106,34067
32146,32153
32118,46055
39404,45861
32116,32130
32160,45270
33205,45270
32142,33207
32112,32132
42741,46055
39393,39408
45864,46055
32142,32160
39382,39398
32142,46160
32148,33222
39386,39404
32172,33207
32164,33203
30191,45270
39390,46055
32102,46059
32132,39406
42744,47120
32105,32106
32114,46155
32166,45262
32128,39408
32148,39386
39376,45869
32108,32116
30199,46154
190,34392
32128,34834
35660,45848
46160,48137
35666,36394
33207,45270
39378,39382
46055,47297
42742,42743
32170,34836
45848,47004
30447,32148
39393,39398
32102,46157
42745,46051
32148,33212
30209,33264
30187,30207
39398,45869
32102,33217
42741,46058
32144,33219
32102,32170
36394,46207
32144,32172
3305,46191
32170,33213
32164,60002
45848,46055
35662,35676
32140,32174
32174,33219
30133,46055
47290,47305
32166,33215
33217,34836
47301,47314
33212,33217
34067,46154
33219,45270
32166,32168
30199,32121
32166,45265
39376,47004
32162,33222
32121,32138
32132,39386
32102,42741
32102,33207
32124,39382
32102,32124
30205,45270
32134,45848
32144,33209
32102,32160
36999,46191
42743,46057
47030,47327
30133,48139
30199,32134
32144,32162
32154,34836
32170,33203
46735,47000
32128,46154
35662,35666
32174,33209
227,36999
47290,47295
30191,30445
32166,33205
34874,45270
47301,47304
35670,47684
227,47207
39398,47004
35670,48358
33203,33207
35665,35676
39376,46055
39376,39410
47304,47314
39382,45869
33215,33217
33207,33213
33222,45270
47684,48358
30187,47305
32162,33212
32121,32128
30133,46022
32134,39386
32102,32114
32154,33213
32114,34834
32124,32138
42744,42745
39403,39404
30133,30193
32154,32166
30199,32124
32158,33219
32150,33215
32130,39393
190,11322
46022,48137
36394,42745
32158,32172
32150,32168
39398,39410
39390,39406
