source,target
Liberté,Part-Dieu Auditorium
M. Houël Hôtel de Ville,Lycée Jacques Brel
Croix-Luizet,Debourg
Jean Macé,Route de Vienne
Boutasse - C. Rousset,Hôtel Région Montrochet
Alfred de Vigny,Hôtel Région Montrochet
Bron Hôtel de Ville,Place des Archives
Lenine - Corsiere,Herriot - Cagne
Desgenettes,Saint-Priest Bel Air
Parc Technologique,Sainte-Blandine
La Borelle,Croizat - Paul Bert
Hauts de Feuilly,Saint-Priest Bel Air
Desgenettes,Parilly - Université
Division Leclerc,Darnaise
Monplaisir Lumière,Gare de Vaise-G.Collomb
Eurexpo Entrée Princ.,Grange Blanche
Manufacture Montluc,Archives Departementales
Joliot-Curie - M. Sembat,Lycee Colbert
Perrache,Esplanade des Arts
Desgenettes,Mermoz - Moselle
Palais Justice Mairie 3e,Hôtel Région Montrochet
La Feuillée,Charmettes
Garibaldi - Berthelot,Saint-Priest Jules Ferry
Perrache,Bron Hôtel de Ville
Cordeliers,Cusset
Le Tonkin,Lycée Jacques Brel
Manufacture Montluc,Beauvisage CISL
Monplaisir Lumière,Bellecour
Grandclément,Bernaix
Garibaldi - Berthelot,Les Alizés
Maurice Thorez,Thiers - Lafayette
Paul Berliet,Mions Croix Rouge
IUT Feyssine,Place des Archives
Meyzieu Gare,Décines Roosevelt
Centre Berthelot,Cordière
Le Tonkin,Debourg
Route de Vienne,Hôtel Région Montrochet
Condorcet,Manufacture Montluc
Décines Centre,Meyzieu Z.i.
Croix-Rousse,Cuire
Jet d'Eau - M. France,Europe - Université
Centre Berthelot,Rebufer
Europe - Université,Saint-Priest Jules Ferry
Saxe - Gambetta,Bellecour
Challemel Lacour Artill.,Mermoz - Californie
Dauphiné -Lacassagne,Reconnaissance - Balzac
Gare de Vénissieux,Lycee Colbert
La Feuillée,Grandclément
Gare de Vénissieux,La Doua - Gaston Berger
St-Priest Hôtel de Ville,Esplanade des Arts
Gare Part-Dieu V.Merle,ENS Lyon
Etats-Unis Tony Garnier,Lenine - Corsiere
Garibaldi,Grange Blanche
Petite Guille,Essarts - Laennec
Meyzieu les Panettes,Meyzieu Lycée Beltrame
Saxe - Préfecture,Musée des Confluences
Esplanade des Arts,Place des Archives
Bron Hôtel de Ville,Lycee J.P. Sartre
Etats-Unis Viviani,Charpennes Charles Hernu
Laennec,Sans Souci
Salvador Allende,Saint-Priest Bel Air
Rebufer,Porte des Alpes
Gare Part-Dieu V.Merle,La Doua - Gaston Berger
Rue de l'Université,Halle Tony Garnier
Ambroise Paré,Parc du Chêne
Gratte Ciel,Flachet - Alain Gilles
